estimator	augmentation_type	augmentation_k	score_avg	score_list	std_err	std_err_avg
SVC	RandomAugment	0	0.7066851851851852	[0.696111111111111, 0.72, 0.7322222222222222, 0.7155555555555555, 0.6872222222222222, 0.741111111111111, 0.6894444444444444, 0.6838888888888889, 0.7011111111111111, 0.7077777777777778, 0.6783333333333333, 0.7422222222222221, 0.6855555555555555, 0.7272222222222223, 0.6838888888888889, 0.7544444444444445, 0.6922222222222223, 0.701111111111111, 0.7022222222222222, 0.6722222222222223, 0.7350000000000001, 0.7022222222222222, 0.696111111111111, 0.7366666666666667, 0.7299999999999999, 0.7088888888888889, 0.7, 0.6905555555555555, 0.7005555555555555, 0.6866666666666666]	[0.04851038948016339, 0.04058218303944373, 0.034820724478729526, 0.03972470423049458, 0.04381537835021585, 0.029352874149740086, 0.05261638741842417, 0.04084540427948361, 0.05846575211263447, 0.04202683837779047, 0.04321961971281923, 0.03139639918892257, 0.05108695081143399, 0.036827648854693515, 0.055217800453915666, 0.037183045533837965, 0.04616425615076408, 0.05853609675038913, 0.046813408323925804, 0.05234553342630582, 0.05261378029131921, 0.03589154521377767, 0.05189184965249025, 0.02801381199607509, 0.05353229349829809, 0.06208649217251741, 0.05731174825757971, 0.043319481800101846, 0.04584558384729154, 0.05722911381249984]	0.04590956985553595
SVC	SupervisedAugment	0	0.7066851851851852	[0.696111111111111, 0.72, 0.7322222222222222, 0.7155555555555555, 0.6872222222222222, 0.741111111111111, 0.6894444444444444, 0.6838888888888889, 0.7011111111111111, 0.7077777777777778, 0.6783333333333333, 0.7422222222222221, 0.6855555555555555, 0.7272222222222223, 0.6838888888888889, 0.7544444444444445, 0.6922222222222223, 0.701111111111111, 0.7022222222222222, 0.6722222222222223, 0.7350000000000001, 0.7022222222222222, 0.696111111111111, 0.7366666666666667, 0.7299999999999999, 0.7088888888888889, 0.7, 0.6905555555555555, 0.7005555555555555, 0.6866666666666666]	[0.04851038948016339, 0.04058218303944373, 0.034820724478729526, 0.03972470423049458, 0.04381537835021585, 0.029352874149740086, 0.05261638741842417, 0.04084540427948361, 0.05846575211263447, 0.04202683837779047, 0.04321961971281923, 0.03139639918892257, 0.05108695081143399, 0.036827648854693515, 0.055217800453915666, 0.037183045533837965, 0.04616425615076408, 0.05853609675038913, 0.046813408323925804, 0.05234553342630582, 0.05261378029131921, 0.03589154521377767, 0.05189184965249025, 0.02801381199607509, 0.05353229349829809, 0.06208649217251741, 0.05731174825757971, 0.043319481800101846, 0.04584558384729154, 0.05722911381249984]	0.04590956985553595
SVC	UnsupervisedAugment	0	0.7066851851851852	[0.696111111111111, 0.72, 0.7322222222222222, 0.7155555555555555, 0.6872222222222222, 0.741111111111111, 0.6894444444444444, 0.6838888888888889, 0.7011111111111111, 0.7077777777777778, 0.6783333333333333, 0.7422222222222221, 0.6855555555555555, 0.7272222222222223, 0.6838888888888889, 0.7544444444444445, 0.6922222222222223, 0.701111111111111, 0.7022222222222222, 0.6722222222222223, 0.7350000000000001, 0.7022222222222222, 0.696111111111111, 0.7366666666666667, 0.7299999999999999, 0.7088888888888889, 0.7, 0.6905555555555555, 0.7005555555555555, 0.6866666666666666]	[0.04851038948016339, 0.04058218303944373, 0.034820724478729526, 0.03972470423049458, 0.04381537835021585, 0.029352874149740086, 0.05261638741842417, 0.04084540427948361, 0.05846575211263447, 0.04202683837779047, 0.04321961971281923, 0.03139639918892257, 0.05108695081143399, 0.036827648854693515, 0.055217800453915666, 0.037183045533837965, 0.04616425615076408, 0.05853609675038913, 0.046813408323925804, 0.05234553342630582, 0.05261378029131921, 0.03589154521377767, 0.05189184965249025, 0.02801381199607509, 0.05353229349829809, 0.06208649217251741, 0.05731174825757971, 0.043319481800101846, 0.04584558384729154, 0.05722911381249984]	0.04590956985553595
SVC	RandomAugment	1	0.6646666666666665	[0.6761111111111111, 0.675, 0.6488888888888888, 0.69, 0.6394444444444443, 0.711111111111111, 0.6677777777777777, 0.6972222222222222, 0.7055555555555555, 0.6461111111111111, 0.6577777777777778, 0.6961111111111112, 0.6766666666666665, 0.6783333333333333, 0.5800000000000001, 0.7, 0.6783333333333333, 0.6088888888888888, 0.6872222222222222, 0.6238888888888888, 0.6461111111111111, 0.6827777777777777, 0.6044444444444445, 0.6972222222222222, 0.7094444444444444, 0.6394444444444444, 0.6288888888888888, 0.6655555555555555, 0.6438888888888888, 0.6777777777777778]	[0.04826232900046056, 0.05062198864013572, 0.040205234800331585, 0.028082281610766466, 0.05344413644324893, 0.03552467795046457, 0.02901917439992433, 0.03132039396606148, 0.05980076661082864, 0.02173935259622868, 0.03216256717091034, 0.02186518739350492, 0.029453178299364523, 0.027869601318293084, 0.036647956318626565, 0.05095117219332444, 0.04550019219423071, 0.03446833102459993, 0.046148281909324004, 0.04409624403503384, 0.046980499705066174, 0.0410213400919025, 0.03982816313709648, 0.026646726083591147, 0.048205450232300134, 0.04486261607382759, 0.05258607158320712, 0.0377323619529172, 0.04442476416124111, 0.030575190100096915]	0.039334874366563674
SVC	SupervisedAugment	1	0.699648148148148	[0.7355555555555555, 0.72, 0.7105555555555555, 0.7216666666666667, 0.6883333333333334, 0.7133333333333334, 0.7116666666666667, 0.643888888888889, 0.7105555555555554, 0.6938888888888888, 0.695, 0.7011111111111111, 0.7077777777777778, 0.7038888888888888, 0.6955555555555556, 0.7077777777777777, 0.705, 0.6744444444444444, 0.7022222222222222, 0.6711111111111111, 0.72, 0.7133333333333333, 0.6816666666666666, 0.7077777777777777, 0.6900000000000001, 0.6744444444444444, 0.6866666666666665, 0.6938888888888888, 0.6955555555555555, 0.7127777777777777]	[0.04203499750314211, 0.035843739516845066, 0.02313629326066778, 0.03729033752832871, 0.04364599139849786, 0.043336498776438706, 0.04076977080200825, 0.033224616949902724, 0.0498037988645877, 0.04302079441054845, 0.039383538441043794, 0.028686374697379644, 0.04791396038161845, 0.03175318482023038, 0.04765991779326058, 0.04476887758866304, 0.04417705056906998, 0.05367943257413849, 0.04267463917284171, 0.05266427040441252, 0.05624998094802299, 0.031243106235500955, 0.05765210691812368, 0.026863981934501607, 0.04581078757113347, 0.057265056483875997, 0.05299144533284263, 0.029553722211773006, 0.034968141487176786, 0.04618542279186854]	0.04214172791228152
SVC	UnsupervisedAugment	1	0.7116851851851852	[0.7388888888888889, 0.7027777777777777, 0.7127777777777777, 0.7294444444444443, 0.7011111111111111, 0.6966666666666665, 0.7044444444444444, 0.6961111111111111, 0.7022222222222222, 0.6900000000000001, 0.7216666666666667, 0.723888888888889, 0.7033333333333334, 0.7322222222222222, 0.7088888888888889, 0.7033333333333334, 0.7266666666666667, 0.7238888888888889, 0.7172222222222222, 0.71, 0.7222222222222222, 0.7144444444444444, 0.7283333333333333, 0.711111111111111, 0.7127777777777778, 0.7022222222222222, 0.6972222222222222, 0.7027777777777777, 0.7294444444444445, 0.6844444444444444]	[0.04651061503985363, 0.046298148111112596, 0.04329572600454496, 0.034237230154751275, 0.05035402784994767, 0.028679201011268057, 0.05375348905637551, 0.03506852003426564, 0.05768867773744386, 0.0456007003050694, 0.042012556095582895, 0.04574523894511214, 0.05064196928929544, 0.025239592648001217, 0.04365973934308555, 0.039005117317535816, 0.04712444488690016, 0.050634181160390694, 0.05820503233185009, 0.03997427156098376, 0.05710193518062012, 0.04608246916490809, 0.04433976870895062, 0.038167920082928145, 0.04906568761324168, 0.054446963912478115, 0.04927631283749537, 0.03182007458785109, 0.03657161266916724, 0.04502552240716824]	0.04452089153493931
SVC	RandomAugment	2	0.6643518518518516	[0.6555555555555556, 0.7177777777777778, 0.6666666666666666, 0.65, 0.6811111111111111, 0.6144444444444443, 0.6761111111111111, 0.6477777777777777, 0.6755555555555555, 0.6694444444444445, 0.6827777777777777, 0.6383333333333334, 0.6272222222222222, 0.6638888888888889, 0.6594444444444443, 0.6616666666666666, 0.6577777777777778, 0.6533333333333333, 0.6966666666666667, 0.691111111111111, 0.696111111111111, 0.6244444444444444, 0.6799999999999999, 0.6255555555555556, 0.6616666666666667, 0.6849999999999999, 0.6533333333333333, 0.6249999999999999, 0.6616666666666667, 0.731111111111111]	[0.0445523381739128, 0.04357797357061549, 0.031633619316420954, 0.061491520822459615, 0.04637179029893195, 0.051767126547129325, 0.054433420400667225, 0.04989838783335216, 0.05289428336427318, 0.035872908570019464, 0.035586888200529444, 0.05929657389992158, 0.04532650941136303, 0.05484264808871573, 0.025754059969998345, 0.05859845688684889, 0.03944227084951883, 0.044438271176209306, 0.05675374572943171, 0.044244922519135234, 0.06168112387533162, 0.041912443847210115, 0.0428350586512621, 0.03922430309592215, 0.04924289619619008, 0.048489176878437755, 0.04683537991808468, 0.03614907785689667, 0.03595121294106997, 0.04856797027492002]	0.04625554530549265
SVC	SupervisedAugment	2	0.6612222222222223	[0.6622222222222222, 0.6583333333333333, 0.6649999999999999, 0.6594444444444444, 0.6694444444444444, 0.6638888888888888, 0.6605555555555556, 0.6416666666666666, 0.6644444444444443, 0.6611111111111111, 0.6527777777777778, 0.6683333333333333, 0.6599999999999999, 0.6461111111111111, 0.6538888888888887, 0.6677777777777777, 0.665, 0.6544444444444444, 0.6405555555555555, 0.6649999999999999, 0.6733333333333332, 0.685, 0.6666666666666666, 0.675, 0.6877777777777778, 0.6583333333333334, 0.6577777777777778, 0.6455555555555555, 0.6627777777777777, 0.6444444444444445]	[0.05487109223159872, 0.04868821046346261, 0.030135155085322853, 0.03431726820595342, 0.03577718349326232, 0.04146039477266315, 0.02360584545495769, 0.02981711516315669, 0.062080968414094696, 0.033323043679335015, 0.03494312447211611, 0.02352726579821044, 0.04843079431657538, 0.04159912220768523, 0.05171310802725102, 0.04572086837771806, 0.05187863065120522, 0.04854395714230858, 0.05509718312652078, 0.04031809391383716, 0.04436567093149438, 0.04193575660168574, 0.04009590697103513, 0.038313646760922054, 0.04047726249574594, 0.05521034723401909, 0.05672957050865114, 0.04916867192674396, 0.050552842146692076, 0.039795430250990554]	0.04308311769417384
SVC	UnsupervisedAugment	2	0.6898148148148149	[0.6794444444444444, 0.685, 0.6905555555555556, 0.6744444444444444, 0.6877777777777777, 0.71, 0.6783333333333333, 0.7100000000000001, 0.71, 0.6738888888888889, 0.6794444444444444, 0.6950000000000001, 0.6933333333333334, 0.6961111111111111, 0.7033333333333334, 0.6905555555555556, 0.6727777777777778, 0.6961111111111111, 0.7016666666666667, 0.7033333333333334, 0.7005555555555555, 0.6883333333333334, 0.7172222222222222, 0.6672222222222223, 0.6588888888888889, 0.695, 0.6544444444444444, 0.7072222222222223, 0.656111111111111, 0.7183333333333334]	[0.04496645602393563, 0.03148202613907932, 0.04037759024804084, 0.04577633942364555, 0.054052507114630936, 0.036315187827423046, 0.05178202970937934, 0.04407874236092397, 0.043372884767547845, 0.041541375411223935, 0.022037037037037025, 0.04387325866389174, 0.03319725309673564, 0.05174625490911725, 0.03863408589047491, 0.03977862265465942, 0.04382633454273016, 0.05207656334601402, 0.05456556192963511, 0.03858967785964773, 0.048788125677597605, 0.037198260206819704, 0.04682256440780352, 0.036771734985273134, 0.04632739696109281, 0.04868961914356775, 0.028841366420639673, 0.032479285368556474, 0.04887941827460917, 0.042488197344441994]	0.04231185859153917
SVC	RandomAugment	3	0.6545925925925927	[0.6561111111111111, 0.633888888888889, 0.6022222222222221, 0.6705555555555556, 0.6894444444444445, 0.7061111111111111, 0.6188888888888888, 0.6511111111111111, 0.6811111111111111, 0.6033333333333333, 0.6222222222222222, 0.655, 0.6633333333333333, 0.6483333333333333, 0.555, 0.7211111111111111, 0.6588888888888889, 0.6466666666666666, 0.6327777777777778, 0.6694444444444444, 0.6672222222222223, 0.7255555555555555, 0.6738888888888889, 0.6799999999999999, 0.681111111111111, 0.6283333333333333, 0.6572222222222222, 0.6405555555555555, 0.6572222222222222, 0.6411111111111112]	[0.03953996432913817, 0.05065720346973849, 0.044283659785585544, 0.050525700043476895, 0.06791248503878106, 0.043378023805212024, 0.05211046618358979, 0.03440459662401891, 0.058515002238472565, 0.04946351414754533, 0.031097880784716037, 0.037382188051786024, 0.04415958092085593, 0.036916934898560134, 0.02845411197595511, 0.038674896243575146, 0.04549830790202942, 0.0397454175564335, 0.051669321583188425, 0.03638547246237176, 0.057164660008693004, 0.043698995352151736, 0.03824914713448882, 0.02949273933573104, 0.04090203760675117, 0.03951393635137855, 0.051779380571812056, 0.03913546169575514, 0.03977862265465941, 0.04817093477893069]	0.0436220214511794
SVC	SupervisedAugment	3	0.6736851851851853	[0.6833333333333333, 0.6361111111111112, 0.6755555555555556, 0.6916666666666667, 0.658888888888889, 0.6972222222222222, 0.6805555555555556, 0.6544444444444444, 0.7055555555555555, 0.6527777777777779, 0.625, 0.6655555555555556, 0.6811111111111111, 0.6777777777777777, 0.6961111111111111, 0.6833333333333333, 0.6783333333333332, 0.681111111111111, 0.6544444444444445, 0.6722222222222223, 0.6988888888888888, 0.6877777777777777, 0.671111111111111, 0.6933333333333331, 0.6655555555555556, 0.6599999999999999, 0.6205555555555555, 0.6872222222222222, 0.6905555555555555, 0.6844444444444445]	[0.05148014919672312, 0.051228059976381676, 0.031830311407207997, 0.03892634880131158, 0.04774187568688005, 0.03863452971300938, 0.04019201170895305, 0.032676659259426324, 0.054552676497414396, 0.05149513541290494, 0.04460810914979964, 0.034284775282719254, 0.0422303435984004, 0.049441323247304415, 0.056975977418061756, 0.03518518518518519, 0.05778519657973461, 0.04832020539750492, 0.0492453335927216, 0.05124646596935658, 0.059874124935256366, 0.0511111111111111, 0.04900099380308512, 0.035609526938435304, 0.052618668548675675, 0.050632487930371374, 0.0574733790585826, 0.029525859954210733, 0.05306807750880099, 0.036447154370792725]	0.0461147352413441
